Model,RMSE_val,MAE_val,R2_val
RandomForestRegressor,0.5124023636641101,0.3310069455857023,0.803801718467685
GradientBoostingRegressor,0.544639388501334,0.3750879727074515,0.7783381042480476
LinearRegression,0.6660586833018628,0.4848272462613292,0.6684890032060726
Ridge,0.6660818870324157,0.4848431211326372,0.6684659048634569
DummyRegressor,1.157226384110996,0.9077512607992202,-0.0007131432421394468
