target_bin,abs_error_mean,abs_error_median,abs_error_max,count
"(0.149, 1.079]",0.21842579561521513,0.1506590092350456,2.458012023148916,620
"(1.079, 1.594]",0.2556721759168848,0.18323059820949772,3.1048303164999993,621
"(1.594, 2.095]",0.2567702857904852,0.19523729381965071,1.934640323088932,618
"(2.095, 2.899]",0.34073411781949703,0.2707292118342628,1.8943427435594955,618
"(2.899, 5.0]",0.5687994538769722,0.4154139482960284,3.4000322715448363,619
