Model,ModelFamily,RMSE_val,MAE_val,R2_val,CV_RMSE_mean,CV_RMSE_std,CV_MAE_mean,CV_MAE_std,CV_R2_mean,CV_R2_std,ConfigSummary
GradientBoostingRegressor_tuned,GradientBoostingRegressor,0.4819577504725729,0.32384650673502874,0.8264235157547535,0.48591173511218066,0.013873290219187486,0.3277317858823711,0.005139288067111587,0.8226533661469263,0.011437157678511571,"{'model__subsample': 0.85, 'model__n_estimators': 350, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_depth': 4, 'model__learning_rate': 0.05, 'feature_engineering__add_stage4_features': False}"
RandomForestRegressor_tuned,RandomForestRegressor,0.5063459855244838,0.3237292737297625,0.8084122696918523,0.5104094231316115,0.015453997392129352,0.3311828957295502,0.0067108411190200876,0.80436718206525,0.012265093494699501,"{'model__n_estimators': 500, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 1.0, 'model__max_depth': 30, 'feature_engineering__add_stage4_features': True}"
RandomForestRegressor_baseline,RandomForestRegressor,0.5124023636641101,0.3310069455857023,0.803801718467685,0.5125519004495679,0.016191977259124097,0.3367235259680995,0.006738039575057623,0.8027152190517659,0.012682142871001396,Stage 3 baseline defaults
GradientBoostingRegressor_baseline,GradientBoostingRegressor,0.544639388501334,0.3750879727074515,0.7783381042480476,0.5375452026566883,0.013744438957047564,0.37249660277538343,0.005049024549704865,0.7829522152674591,0.013455694455833183,Stage 3 baseline defaults
Ridge_tuned,Ridge,0.6502528471525072,0.47093367642454265,0.6840360931613161,0.6596496960854641,0.01606542409544253,0.4701429313509249,0.011206908907927325,0.6733938246435034,0.015383388128892705,"{'feature_engineering__add_stage4_features': True, 'model__alpha': 100.0}"
Ridge_baseline,Ridge,0.6660818870324157,0.4848431211326372,0.6684659048634569,0.6880830583020646,0.028340475641053308,0.4837708316794527,0.009629496683021847,0.6440299880950058,0.03209943677283388,Stage 3 baseline defaults
